No,Name,Genre,RMS,LUFS,LRA,N peaks,DR,Crest,LR coeff,MS coeff
374,../master-dynamics/audio/374.mp3,funk,0.2825199067592621,-8.424483299255371,0.9939308166503906,9,4.305521,4.616795539855957,-0.025976181030273438,0.2651498597286129
354,../master-dynamics/audio/354.mp3,electronic,0.2522468864917755,-8.846912384033203,2.802344799041748,0,4.7707195,4.735050678253174,-0.07585787773132324,0.42516015252413475
266,../master-dynamics/audio/266.mp3,metal,0.20035172998905182,-9.25401782989502,7.221620559692383,29,11.485563,6.901500225067139,0.009324878454208374,0.398778913834398
577,../master-dynamics/audio/577.mp3,rock,0.2763783633708954,-7.555542945861816,3.4240264892578125,466,8.571913,5.22015905380249,-0.019044697284698486,0.3177231598117295
233,../master-dynamics/audio/233.mp3,hip-hop,0.3864242434501648,-6.549459934234619,0.9336204528808594,95,3.726543,3.369661331176758,0.025494247674942017,0.3164598027869808
643,../master-dynamics/audio/643.mp3,disco,0.31577831506729126,-7.826881408691406,1.6251344680786133,171,7.14311,4.2300872802734375,-0.016182631254196167,0.20943969995288592
450,../master-dynamics/audio/450.mp3,pop,0.2276870757341385,-10.773859977722168,1.4687509536743164,0,10.057802,5.770797252655029,0.037572771310806274,0.33399821138600827
539,../master-dynamics/audio/539.mp3,reggaeton,0.24771831929683685,-7.534503936767578,1.8616623878479004,9,10.874184,5.598811626434326,-0.0020869076251983643,0.4249106113542678
357,../master-dynamics/audio/357.mp3,electronic,0.2958372235298157,-9.8065824508667,0.7905025482177734,3,4.5881824,4.372620582580566,-0.00655752420425415,0.17430889387524193
179,../master-dynamics/audio/179.mp3,k-pop,0.14774806797504425,-9.656679153442383,4.211758136749268,0,14.193926,5.912581443786621,-0.015728265047073364,0.4525316069433598
131,../master-dynamics/audio/131.mp3,reggae,0.2828555107116699,-8.63060474395752,2.6602401733398438,1119,7.2733555,4.876375198364258,0.0037108659744262695,0.3028371460619641
561,../master-dynamics/audio/561.mp3,rock,0.12354419380426407,-13.604909896850586,7.2461042404174805,0,12.722166,7.176653861999512,0.010385528206825256,0.408712216501099
160,../master-dynamics/audio/160.mp3,reggae,0.14240095019340515,-15.474878311157227,2.3767337799072266,0,13.375805,7.2605671882629395,-0.0002774745225906372,0.1225927311838297
600,../master-dynamics/audio/600.mp3,soul,0.19548937678337097,-10.18819808959961,2.986781120300293,0,6.144025,6.309200763702393,-0.027710825204849243,0.3973978162659751
120,../master-dynamics/audio/120.mp3,jazz,0.2564866840839386,-10.253803253173828,1.8092126846313477,0,11.717173,5.080600261688232,0.008481621742248535,0.15305194486736717
310,../master-dynamics/audio/310.mp3,country,0.28938809037208557,-8.019679069519043,1.0441551208496094,12,11.501679,4.458886623382568,0.0036840736865997314,0.2854294071531306
526,../master-dynamics/audio/526.mp3,reggaeton,0.32301926612854004,-6.968348979949951,1.0890469551086426,3457,6.2702427,4.603847980499268,0.0005764663219451904,0.3138502090449797
186,../master-dynamics/audio/186.mp3,k-pop,0.2705587148666382,-7.8177008628845215,2.1782851219177246,16,6.590061,4.884657382965088,-0.009522885084152222,0.3601531432275332
661,../master-dynamics/audio/661.mp3,disco,0.1397310197353363,-13.092544555664062,3.125185966491699,0,9.702121,9.154958724975586,-0.017793461680412292,0.338690978917755
79,../master-dynamics/audio/79.mp3,house,0.34392714500427246,-6.587833404541016,1.5556163787841797,509,5.6786604,4.1406707763671875,0.0014837384223937988,0.2633776481735169
82,../master-dynamics/audio/82.mp3,house,0.26186293363571167,-8.037483215332031,1.7003798484802246,40,10.758338,5.478521823883057,0.0005908608436584473,0.34994870359805297
554,../master-dynamics/audio/554.mp3,rock,0.2721448242664337,-7.519311904907227,1.8273930549621582,83,7.8095045,4.738203525543213,-0.01381734013557434,0.30811879326760067
343,../master-dynamics/audio/343.mp3,electronic,0.37469011545181274,-7.878402233123779,0.4704771041870117,1292,3.8334332,3.9836320877075195,-0.0025526881217956543,0.14837741915932617
494,../master-dynamics/audio/494.mp3,orchestral,0.11236388236284256,-17.162660598754883,10.146446228027344,0,46.806206,11.75738525390625,0.0014135539531707764,0.25580587361630786
55,../master-dynamics/audio/55.mp3,house,0.2942337095737457,-8.483407020568848,5.178767204284668,133,8.238394,4.888143539428711,0.011215120553970337,0.3013906076432041
148,../master-dynamics/audio/148.mp3,reggae,0.3122108280658722,-8.326973915100098,1.7573204040527344,471,7.8926735,4.6901116371154785,-0.00923272967338562,0.1626749738282342
436,../master-dynamics/audio/436.mp3,pop,0.09257548302412033,-16.866962432861328,1.8568229675292969,0,12.727215,9.037788391113281,-0.007093250751495361,0.2915318588643013
289,../master-dynamics/audio/289.mp3,metal,0.15690332651138306,-12.133166313171387,0.5551223754882812,0,3.1005926,4.419549465179443,0.0024796873331069946,0.33600583223652813
607,../master-dynamics/audio/607.mp3,soul,0.19005179405212402,-11.165375709533691,6.071033000946045,5,23.453491,7.483058452606201,-0.010517507791519165,0.33464922362209537
240,../master-dynamics/audio/240.mp3,hip-hop,0.2799489498138428,-9.155311584472656,0.6266489028930664,29,3.565587,4.575445652008057,-0.00013214349746704102,0.18698433778813398
387,../master-dynamics/audio/387.mp3,funk,0.2777559161186218,-8.82569694519043,2.2718682289123535,0,11.619583,4.843542575836182,0.015138566493988037,0.20692281864226492
14,../master-dynamics/audio/14.mp3,classical,0.04884466901421547,-20.142311096191406,5.885885238647461,0,21.554659,10.131691932678223,-0.00216810405254364,0.4678569974743749
